word,count,desc_count,fn_count,tier,source,example1,example2,example3
curse,14,1,13,new,both,Snapping curse rippling through the air with venomous tone.,,
squish,14,12,2,new,both,Grapefruit is smashed. Liquid squish.,Grapefruit is rapidly smashed. Liquid squish.,Short and liquid squish.
put,14,8,6,new,both,"SYNTHETIC FLY BY Roaring and crackling, with declining intensity, resembling fire being put out.",Toy caarr body removed and put back together. Short click followed by rotation of parts coming together or being taken apart.,Toy car loading ramp put together and taken apart quickly. Short click.
squawking,14,14,0,new,desc,"Wild, Tropical. Curious, tonal, squawking, screaming and chattering. Mono, Sanken Co100K high frequency response.","Wild, Tropical. Curious, tonal, squawking, screaming and chattering.","Wild, Tropical. Tonal, desperate squawking and screaming. Mono, Sanken Co100K high frequency response."
falcon,14,8,6,new,both,"Wild, Falcon. High, slightly raspy, tonal screeching and screaming with fast tremolo. Mono, Sanken Co100K high frequency response.","Wild, Falcon. High, slightly raspy, tonal screeching and screaming with fast tremolo.","Wild, Falco Jugger, Lugger Falcon. Curious, long, high, tonal screaming. Mono, Sanken Co100K high frequency response."
strained,14,14,0,new,desc,Slow drag with tight tension and strained leather groan.,Gradual jacket shift with strained creaks and soft rubs.,"BIG SHORT SQUEAL Strong, strained mid frequency squeak becoming higher then stopping. Medium fast decay."
ridealong,14,14,0,new,desc,"Rapid ridealong, captured using an electromagnetic field microphone placed on the engine.","Rapid ridealong, accompanied by electric motor sounds.","Moderate ridealong, captured using an electromagnetic field microphone placed on the engine."
tactile,14,14,0,new,desc,Tactile interaction of a coin being dropped into a hand.,"Digital click characterized by a tactile sensation of glass friction, producing a distinctive scraping sound.",Metal tick characterized by a tactile sensation of a precise click.
shredding,14,14,0,unknown,desc,"SCRATCH LARGE LOW Shredding, tearing, cutting. Short duration.","SCRATCH LARGE LOW Shredding, tearing, cutting slowly.","SCRATCH LARGE LOW Shredding, tearing, cutting, slicing. Short duration."
weighted,14,13,1,new,both,Heavy or weighted impact on an iron case.,Thick nylon sweep with weighted body and gritty drag.,Deep thudding blast with time stretched texture and weighted transients.
noisey,14,8,6,new,both,Dynamic and noisey whimsical explosion tail.,"Inharmonic, noisey, drill texture. Very dry and concentrated in the high mid range.","Harsh, noisey glitches with slow attack and short decay."
drywall,14,7,7,mid,both,Gritty scraping sound of a drywall rasp. Sequence.,Gritty scraping sound of a drywall rasp. Fast single sound.,Gritty scraping sound of a drywall rasp. Slow single sound.
sponge,14,5,9,mid,both,"Plastic sponge moved around in long sequences producing sharp squeaks, similar to oinking pig if it were made of plastic.","Plastic sponge moved around in short sequences producing sharp squeaks, similar to oinking pig if it were made of plastic.","Plastic sponge squeezed tightly, producing crunch and light rustle."
clanking,14,14,0,mid,desc,"PROCESSED SCREECH LONG Continuous screech, similar to clanking sound, with a bang.","Filing cabinet drawer is closed, producing a clanking sound with very short tail.",Small sized metallic case being opened and closed loosely. Metallic case clanking and rattling elements.
strikes,14,14,0,new,desc,Metallic impact and metallic jiggles as an object strikes the surface of the box.,Solid impact as a stone strikes the hard surface of a travel bag.,"Soft, organic smack made when the tongue quickly strikes the roof of the mouth."
blades,14,14,0,mid,desc,Processed helicopter blades spinning. Short duration.,"Electrical blades, breaking an electromagnetic field.","Electrical blades with rattling sparks, breaking an electromagnetic field."
tub,14,6,8,mid,both,"Dry ice on metal tub, medium pitch, tonal squeaking variations. Short to long sequences.","Dry ice on metal tub, low pitch, tonal squeaking variations. Short to very long sequences.","IMPACT METAL HIGH Hitting tub with hand. Long, ringing tail."
pulling,14,14,0,mid,desc,Processed pulling of bow and firing of arrow in short sequence. Rock like thud on impact followed by stretch.,"Archer pulling on bow of arrow in long sequence, like stretching of cellophane and then, like rocks colliding with surface and lightly flicking up dus","Archer pulling on bow of arrow in long sequence, like stretching of cellophane eventually firing, like rocks colliding with surface and lightly flicki"
turbine,14,8,6,mid,both,"Turbine aircraft flying by. Smooth, noisy with tonal element.",Slow and long pass by of a turbine aircraft. Smooth and noisy with long and slow tonal whooshes.,"Short and fast pass by of a turbine aircraft. Short, sharp and noisy with tonal elements."
weak,14,14,0,mid,desc,Howl of beast already drowning and has already become weak from oxygen deprivation.,Duck struggling to quack and weak from exhaustion.,Weak beast roars and then zooms away.
tinkling,14,14,0,new,desc,Tinkling and sizzling with bell-like jingling in the tail.,Digital tick characterized by a blend of high-frequency tinkling and low-frequency thuds.,"Digital tick characterized by a soft, tinkling noise that has a thin and crisp quality."
vegetable,14,5,9,new,both,Sustained vegetable fry with wet heat and crunchy texture.,Sharp snap with fibrous tear and dry vegetable crack.,Sharp vegetable break with bright crackle and moist texture.
distorting,14,14,0,mid,desc,"PROCESSED RUPTURE Hard, distorting attack with ripping, noisy element fading out with closing filter.","SYNTHETIC HIT LOW Extreme, distorting, snappy impact. Short with subtle low end. Some variation with high, piercing element.",Heavily distorting noise. Harsh with low rumbling.
whizz,14,10,4,new,both,"Short, whimsical spell accompanied by a distinctive tonal whizz.",Deep whizz like sound with long screech.,Rapid whizz bys with piercing and zapping elements on top. Like alien whizz bys.
distressed,14,1,13,new,both,One year old baby girl grumbling distressed. Short.,,
scary,14,9,5,mid,both,"Ghost, Spirit, Paranormal. Male voice, scary exhaling, airy. Mono, Sanken Co100K high frequency response.","Ghost, Spirit, Paranormal. Male voice, scary exhaling, airy.","Ghost, Spirit, Paranormal. Male voice, scary inhaling, airy, tonal. Mono, Sanken Co100K high frequency response."
apple,14,7,7,unknown,both,BITE VEGETABLES MEDIUM WET Steadily biting off and chewing of an apple. Some breathing and lip smacking.,"BITE VEGETABLES MEDIUM WET Quickly and repeatedly biting apple in a clean, crisp, crunchy.",BITE VEGETABLES MEDIUM WET Normally biting apple. Crunchy and resonant.
fx,13,13,0,mid,desc,"Low mid, fx hit with fast decay and intense phasing.",Transient one shot gun fx with slight flam and complex layering.,"SYNTH FLYBY FAST Synthetic FX. Whoosh, running or flying by. Some spinning elements."
collisions,13,13,0,new,desc,Muddled Gravity impact sound of natural materials and collisions.,Cloud of metallic collisions with randomized pitch and convolution.,Sustained woody texture of layered physical collisions and short release.
fireball,13,3,10,old,both,Big flame approaching and passing by like shooting a fireball. Striking like a meteor in the middle.,Pre-designed impact sound. Tight attack. Sounds like a fireball hitting dirt ground.,"Cast and shot of a magical fireball. Long, partly tonal build-up with a fast, hard blast and a slow, burning release."
modulations,13,13,0,new,desc,"Processed flames coming out of futuristic device. Heavy drone. Heavy, synthetic gurgles with modulations. Electronic gurgles. Extreme variations.",Synthetic pitch falling with quick modulations.,SHOOT MEDIUM Multiple successive shots. Long airy tail with modulations.
screwdriver,13,2,11,old,both,Electronic screwdriver turns and rotates. Duration varies.,Electronic screwdriver turned on and held for a long time. Pitch varies between low and high.,
rugged,13,5,8,new,both,"Sharp accent with a rugged, driven sine wave passing by.","Extended detonation characterised by a deep, rugged, and distorted tail.",Rugged crack and fracture as a stone breaks upon impact.
irregular,13,13,0,new,desc,Gritty texture and irregular movements as stones are dragged or pushed along the ground.,Gritty texture and irregular movements as rocks are shifted or disturbed within the pile.,Subtle friction and irregular movements as a rock is dragged or slid across a surface.
snacks,13,13,0,unknown,desc,"BITE SNACKS SMALL CRUNCHY Biting chip. Crunchy, crushing and resonant.","BITE SNACKS SMALL CRUNCHY Slowly biting chip. Crunchy, crushing and resonant.","BITE SNACKS SMALL CRUNCHY Quickly biting chip. Snapping, crunchy and resonant."
concentrated,13,12,1,new,both,Concentrated fireburst shooting with blistering impact.,"Falling, earthly impact texture concentrated in the low mids.",Fast natural impact sounds concentrated in low mids.
oozing,13,13,0,new,desc,"Slime oozing down hill, as if group of pebbles were sliding down continuously.","Slime oozing down hill, as if boulder starts to roll but then squeaks crazily and endlessly, like material extremely stretched.","Slime oozing down hill, as if boulder starts to roll but then squeaks crazily, like material extremely stretched."
cannonball,13,10,3,mid,both,"Flying cannonball pass by, large.","Flying cannonball pass by, medium.","Flying cannonball pass by, small."
flickering,13,13,0,new,desc,"PROCESSED HIT HIGH Shaky and synthetic hit, with some flickering.",Sinister breeze cloaked in divine deceit and flickering purity.,"Light, energetic movement flickering with soft arcane brilliance."
resulting,13,13,0,new,desc,"Heavy impact of a bucket against stone and sand debris, resulting in a dull and muffled effect upon colliding with a surface.","Firm pressing together of the book's pages and cover, resulting in a weighty thud.","Rapid flick motion and impact of a large book's pages, resulting in a crisp thud."
expelled,13,13,0,mid,desc,"Grapefruit squeezed aggressively with juices expelled, producing squeaks.","Compress air expelled, producing bubbles, as if rocks are slowly sliding down slope.","Compressed air expelled continuously, producing gurgling jelly."
bash,13,3,10,mid,both,"MEDIUM SHORT HIT Strong metallic bash, clang. Slight mid resonance. Medium fast decay.","SMALL SHORT HIT Thin, bright metallic bash, clang. Slight rattle and subtle mid resonance. Medium fast decay.","MEDIUM SHORT HIT Moderate metallic bash, clang. Subtle low mid resonance. Medium fast decay."
sharply,13,13,0,new,desc,Chilling sweep gliding sharply with frozen clarity and glide.,"Rock crashes sharply into ground, as if hitting against metallic fence.",Stone scrapes sharply against flat surface and lightly rolls.
nervous,13,9,4,new,both,"Domestic, Farm, Mammal. Nervous breathing and grunting with subtle hoofbeats in the background. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Mammal. Nervous breathing and grunting with subtle hoofbeats in the background.","Domestic, Farm, Mammal. Nervous breathing and grunting with subtle nickering. Mono, Sanken Co100K high frequency response."
placed,13,13,0,new,desc,Firm thud as a box is firmly placed on a travel bag.,"Cartridge of inhaler placed in mechanism, producing cup like clack.","Cartridge of inhaler placed in mechanism quickly, producing short scrape and clack."
cliff,13,13,0,mid,desc,"Warp weapon fired, like rocks coming off a cliff muffled.","Warp weapon fired, like rocks coming off a cliff morphed.",Big rock falls from cliff and rolls further downhill until coming to halt.
going,13,12,1,new,both,"Processed low, varying pitch rumble going in and out with high pitched noise.",Processed drone with dispersed electric particles and buzzes going in and out.,Sweeping noises whooshing and scattering with buzzes going in and out. Becomes more electrical towards end and buzzes more processed.
chewing,13,6,7,unknown,both,BITE VEGETABLES MEDIUM WET Steadily biting off and chewing of an apple. Some breathing and lip smacking.,BITE VEGETABLES MEDIUM WET Steadily biting off and chewing a carrot. Some breathing and much lip smacking.,"BITE VEGETABLES SMALL WET Chewing on pepper. Crushing, smashing, squishing. Audible breathing."
lengths,13,12,1,new,both,Synthetic rise in pitch for varying time lengths.,Synthetic rise in pitch. Modulated and warped. Varying lengths.,Processed zapper with rumbling of various lengths.
grinds,13,2,11,new,both,Metal tick characterized by a series of metallic clicks and grinds.,GRIND RAIL OBSTACLE Skater making slides and grinds on a rail.,
squelch,13,3,10,new,both,"Gentle, sticky squelch with soft mush and moist texture.",Juicy compression with thick squelch and sticky liquid.,Rapid squelch with layered compression and wet crackle.
transformation,13,8,5,new,both,"Blend of fizzing, flipping and metallic sounds, suggestive of a magical transformation or whimsical effect.","Spellcast or transformation being subdued or weakened, possibly implying a reduction in power or intensity.",Impact created by a powerful force or magical transformation.
noises,13,12,1,new,both,"Short, whimsical spell accompanied by subtle crackling noises.",Gurgling and bubbling noises made by liquid in the mouth.,"Action of turning down a plastic bottle filled with liquid, capturing the subtle bubbling and sloshing noises as the liquid settles inside the contain"
roof,13,7,6,new,both,Soft and subtle organic smack created when the tongue is pressed against the roof of the mouth and released.,"Soft, organic smack made when the tongue quickly strikes the roof of the mouth.",Clicking elements followed by constant car roof electric buzzing elements.
haunted,13,13,0,new,desc,"Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming long, strident and eerie.","Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming short, strident and eerie.","Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming and whimpering long, strident, e"
slammed,13,12,1,mid,both,"Double lever of door opened, similar to door colliding against wall or being slammed.","Filing cabinet door slammed, producing thud with short resonance.",Car hood slammed shut. Loud thud as well as slight squeak during movement. Impact very resonant. Long tail.
test,13,5,8,new,both,Large test tube break with rich glass body and wide debris tail.,Steady pour into test tube with thick liquid flow and glass resonance.,Long test tube rattle with layered liquid movement and bright glass detail.
throbbing,13,13,0,mid,desc,SYNTHETIC RUPTURE Hard attack with intense throbbing and rumble.,"SYNTHETIC RUPTURE Soft explosion like sound, with throbbing and rumble.","MEDIUM LONG TEXTURE Shrill reversed squeak, scraping metal over low rumble. Throbbing gesture, slow attack and slow release."
pin,13,2,11,mid,both,Metal sound of a cannonball moving on a wooden plate into some loose and moving metal objects with a long metal pin tail.,"Rolling pin moved over celery, producing sharp crunch.",
swarm,13,3,10,mid,both,RAY SMALL Clanks with rise in pitch. Crazy swarm of bees becoming more and more distorted. Various clanks and squeaks with fall in pitch as weapon pow,"Swarm of alien bees, electronic birds migration.","BRAAM SYNTHETIC BASS Buzzy, modulating bass tones. Angry swarm."
attachment,13,1,12,mid,both,Vacuum cleaner attachment being plugged in rapidly. Snapping in place thick clicking elements.,,
leaf,13,1,12,new,both,Twisting rip with wide texture and dense leaf body.,,
jolting,13,13,0,new,desc,Dynamic jolting burst with frequency-shifting movements.,Short jolting confirmation sound.,"Fluctuating, jolting shing with an echoing effect."
custard,13,7,6,new,both,"Short compressed air bursts fired quickly into custard, producing fast bubbles.","Short compressed air bursts fired slowly into custard, producing large bubbles.",Very quick release of plunger in custard with light suction.
weird,13,9,4,mid,both,"Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, sad and weird jabbering. Mono, Sanken Co100K high frequency response","Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, sad and weird jabbering.","Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, weird and intense jabbering. Mono, Sanken Co100K high frequency resp"
grip,13,10,3,new,both,"Action of grabbing a handful of dice, whilst the dice rustle within the grip.",Intense swirling motion with strong grip and wet texture.,Magical snare swirling with chaotic whispers and mental grip.
chips,13,5,8,new,both,Tortilla chips slid and then crushed.,Tortilla chips crushed endlessly.,Rocks come falling down slope in long sequence and as if particles of aluminum foil are simmering or chips are being crunched.
fist,13,1,12,new,both,Hitting pile of sand with fist. Some sliding and rustling.,,
ticking,13,13,0,old,desc,"FLIGHT MOVEMENT Sustained low-mid frequency buzzing. Pitch wavering slightly with chorus effect. Stereo flapping, ticking tapping. Cut to silence for ","METAL PLASTIC WINDING MECHANISM MEDIUM Shutting impact followed by several different, rhythmically clicking and ticking elements.","METAL PLASTIC WINDING MECHANISM MEDIUM Closing impact followed by short, rhythmic and fast ticking. Ending with locking impact."
shard,13,5,8,new,both,Crushed glass impact with fine shard detail and clustered resonance.,Grouped shard collection with clustered glass taps and friction detail.,Swift glass shard sweep with brittle whoosh and dry transient.
fireworks,13,9,4,old,both,Crackle like fireworks. Distorted impact against metal. Grains quickly simmer out.,PYROTECHNIC EXPLOSION FIREWORKS Starting with pumping sound followed by detonation and sizzling. Low explosive.,"Indoor fireworks recording, Slightly reverberant. Short bursts that sound like electricity."
lets,13,4,9,new,both,Corn starch against cushion in constant motion. It crunches and lets out air.,Small alien beast emitting high pitched screams and struggling desperately in water in long sequence. Loud pulse fired and beast lets out final vocali,Chicken lets out battle cry and aggressively cranes head in gory attack.
wine,13,2,11,new,both,Wobble effect with shifted resonance of a wine glass.,Shimmering tone produced by a wine glass when gently struck.,
saturated,13,12,1,new,both,Saturated synth whoosh characterized by its rich and intense nature.,"Saturated synth blast with electrical, long, wobbly tail.","Saturated synth blast. Very dense, quick and sudden."
expulsion,13,13,0,mid,desc,Processed nitro rifle shot. Warped expulsion. Short duration. Quiet whoosh towards end.,"Short expulsion of multiple, bubbly, quick shots. Longer in length and higher in pitch at end.",Expulsion of futuristic weapon against gate or force field.
phrase,13,10,3,mid,both,Loud phrase is played with stable intensity.,"Loud, slow, phrase is played with rising tone.",Loud phrase is played with rising tone.
soil,13,10,3,mid,both,Steel ball of 14 kilograms being dropped onto a soil with some leaves. Deep and dull hit.,Rising soil type texture with slow attack and fast decay.,BODY DROP MEDIUM IMPACTS Falling to ground with dull thud and shuffling sound of displaced soil.
crumpling,13,13,0,new,desc,Sharp rip and crumpling of a paper as it is torn apart.,Short burst of crumpling tape with tight texture and rapid decay.,Crumpling up a handful of hook and loop fastener.
gliding,13,12,1,new,both,"Pale, spectral swirl gliding through the void with eerie resonance.",Gentle holy wind gliding with a weightless divine shimmer.,Chilling sweep gliding sharply with frozen clarity and glide.
flange,13,4,9,new,both,"Harsh, modulated movement with intense, sweeping flange textures.","Continuous, swirling motion with deep, evolving flange effects.","Metallic, resonant cracking with shifting flange textures."
mysterious,13,7,6,new,both,"Extraterrestrial, Creature, Monster. Deep, eerie, mysterious growling with tonal moaning.",Opening or unveiling of a mysterious container or enchanted artifact.,"Mysterious, eerie whoosh elements followed by a whirly swish with high tonal elements and ending with a reverberating decay."
fat,13,6,7,new,both,Short electric burst from a heavily processed whoosh sound. Fat bottom end.,Pre-designed heavy impact sound. Fat low end. Explosion-like.,"Short fat flame whoosh, fastly swinging a torch. Small initial whoosh followed by a larger one. Close perspective"
frying,13,8,5,new,both,Intense frying layer with constant popping and oily sputter.,Juicy press with frying texture and slight hiss.,Sizzle of frying pan which slowly withers away.
obstacle,13,7,6,old,both,GRINDING CONTAINER OBSTACLE Skater grinding a container.,GRIND LEDGE OBSTACLE Skater grinding a ledge.,SLIDE LEDGE OBSTACLE Skater sliding a ledge.
alcohol,13,2,11,new,both,Variation of plastic alcohol roar with tight rumble and rough tail.,Smoother version of alcohol flame growl with subdued tonal edges.,
snake,13,7,6,new,both,"Fantasy, Reptile, Reptiloid, Lizard, Snake, Male, Voice, Vocal. Male reptiloid snarling and screaming long and aggressively.","Fantasy, Reptile, Reptiloid, Lizard, Snake, Male, Voice, Vocal. Male reptiloid snarling short and aggressively.","Fantasy, Reptile, Reptiloid, Lizard, Snake, Male, Voice, Vocal. Male reptiloid snarling, gasping and screaming long and painfully."
chuckling,13,13,0,old,desc,One year old baby boy laughing and chuckling. Short.,Three months old baby boy laughing and chuckling. Short.,One year old baby girl laughing and chuckling. Short.
industrial,13,5,8,mid,both,"Dark, atonal reverberations of industrial material with slow release.","Industrial, engine texture with descending pitch and noise.","Sustained, industrial, aerosol noise with quick decay."
twitching,13,13,0,mid,desc,Electronic impact with some digital twitching and glitching elements. Heavily processed impacts.,Electronic zapping with some digital twitching and glitching elements. Heavily processed impacts.,Harsh and warping impact elements with some additional digital twitching.
boot,12,1,11,mid,both,Electric boot latch of a car being used. Clicking and thudding impact followed by some mechanical buzzing elements.,,
humm,12,2,10,mid,both,Humm with electric sparks. Different layers in variations.,"Crisp sparks, short humm of welding a piece of rail.",
standing,12,8,4,mid,both,Electric wheelchair standing down option with mechanical buzzing and clicking elements.,Electric wheelchair standing up option with mechanical buzzing and clicking elements.,SKATING TRICK FLIP Skater making a kickflip while standing still. Isolated pop.
disperse,12,12,0,mid,desc,"Multiple, short laser like impacts. Grains slowly disperse.",Squeaky grains disperse. Synthetic rise in pitch and sudden fall.,Synthetic disperse followed by rise in pitch.
submerging,12,12,0,mid,desc,Large displacement with submerging bubbles and spraying in the end.,"Submerging with lots of displacement, bubbling and dripping in the end.",Fast submerging hit with subtle displacement.
ship,12,5,7,mid,both,Strong laser impact on metal side of ship with low resonant pitch.,"Restricted access granted, classified power enabled, space ship passing by.","Space ship, UFO. Metallic texture, rattling layer."
crashing,12,12,0,new,desc,"PROCESSED DECAY Rumbling and wobbly eruption, resembling a wave crashing onto the shore.",Big pile crashing with lots of rattling and crackling debris.,Celestial impact crashing in with cosmic force and radiant debris.
downward,12,12,0,new,desc,Jolting featuring a downward tonal shift accompanied by noise.,Quick downward tonal run with focused pitch and clean shimmer.,"Phasey, noise texture with atonal qualities and downward pitch modulation."
super,12,1,11,new,both,"Super power, launching energy away.",,
sparkly,12,12,0,new,desc,"Magical healing puff with sparkly, cheerful resolution.",Textural swelling of noise with slow release. Sparkly high end..,Soft sparkly rises with short decay and angelic resonance.
baba,12,6,6,old,both,One year old baby boy talking baba.,One year old baby boy talking baba dada.,
fence,12,9,3,mid,both,"Synthetic, liquid vibrations. Long duration. Like clanks against grooved metal fence.","Synthetic, liquid vibrations. Short duration. Like clanks against grooved metal fence.","Electrons collision rebound, electromagnetic field fence"
sanding,12,6,6,mid,both,Crumpling up a handful of sanding paper quickly.,Crumpling up a handful of sanding paper slowly.,Sanding wood with a piece of sanding paper. Fast sequence.
poles,12,4,8,mid,both,Metallic poles clunking elements from soft impacts.,Metallic poles clunking and ringing elements from soft impacts and slamming.,Metallic poles hollow clunking elements from soft impacts and slamming.
increase,12,10,2,new,both,Delayed wobble characterized by a gradual increase in frequency modulation over time.,Delayed pop rising characterized by its gradual increase in intensity and pitch.,"Rising delay filter tail, characterized by a gradual increase in intensity and modulation over time."
smacking,12,12,0,new,desc,"Extraterrestrial, Creature, Monster. Long, deep growl with smacking and exhaling at the end.","Extraterrestrial, Creature, Monster. Calm snarling and growling with smacking and exhaling.",BITE VEGETABLES MEDIUM WET Steadily biting off and chewing of an apple. Some breathing and lip smacking.
honda,12,6,6,mid,both,Slow and whipping motorcycle pass by whooshing elements. Model - Honda CB600F Hornet.,Slow pass by whooshing elements of a Honda CB600F Hornet motorcycle.,Rapid and whipping pass by whooshing elements of a Honda CB600F Hornet motorcycle.
droplets,12,11,1,mid,both,"SYNTHETIC HIT LOW Wet and hard hit, followed by cracking and scattering, resembling water droplets falling down.",Water droplets roughly squeezed out.,"Very heavy, fast, and mushy cut with liquid droplets."
growls,12,7,5,new,both,"Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, aggressive throaty snarling with growls and screams. Mono, Sanken Co100K high frequency response","Ghoul, Zombie, Skeleton, Undead, Mummy. Female voice, aggressive throaty snarling with growls and screams.","High tech laser fired.  Bass burst with long, thin, airy tail. Sometimes growls."
overdriven,12,12,0,new,desc,"Hard, overdriven impact with rock like texture and short tail.","Overdriven, compressed geological impacts in the low frequency range.","Gritty, amplified noise with overdriven crunch."
children,12,12,0,old,desc,"PERCUSSION RATTLE BIG Shaking rattle with plastic balls. Children, kids, toy. Differing in speed and length.","PERCUSSION RATTLE MEDIUM Shaking rattle with plastic balls. Children, kids, toy. Differing in speed and length.","PERCUSSION RATTLE SMALL Shaking plastic rattle. Children, kids, toy. Differing in speed and length."
blazing,12,5,7,new,both,Blazing spell surging forward with hellish velocity.,"Blazing whoosh with intense, burning resonance.","Blazing, forward driven motion with a fast, fluid acceleration."
harp,12,6,6,old,both,BOING INSTRUMENT HIGH Playing Jew's harp. Short and wobbling.,BOING INSTRUMENT LOW Playing Jew's harp. Short and wobbling.,BOING METAL JUMP Playing Jew's harp while pressing air out of mouth. Shaping sound with mouth. Ascending and descending pitch.
bridge,12,1,11,mid,both,"Dimensional gate, galaxy bridge.",,
pallets,12,6,6,old,both,WOOD IMPACT HEAVY Throwing wooden pallets.,WOOD IMPACT MEDIUM Throwing wooden pallets.,WOOD IMPACT Throwing rock on wooden pallets. Crackling impact. Rock rolling off.
lively,12,12,0,new,desc,Vibrant and lively whimsical spell infused with high frequency textures.,"Animated impact between the hand and the bottle, generating a sustained and lively pop sound.","Animated impact between the hand and the cup, resulting in a lively and percussive sound."
hushing,12,12,0,mid,desc,"Pressure sprayer releasing air in metal canister, long. Soft and thin hushing elements.","Pressure sprayer releasing air in metal canister, short. Soft and thin hushing elements.","Pressure sprayer releasing air with additional modulation with a hand, long. Soft and thick hushing elements."
reptiloid,12,6,6,mid,both,"Fantasy, Reptile, Reptiloid, Lizard, Snake, Male, Voice, Vocal. Male reptiloid snarling and screaming long and aggressively.","Fantasy, Reptile, Reptiloid, Lizard, Snake, Male, Voice, Vocal. Male reptiloid snarling short and aggressively.","Fantasy, Reptile, Reptiloid, Lizard, Snake, Male, Voice, Vocal. Male reptiloid snarling, gasping and screaming long and painfully."
gauge,12,12,0,old,desc,"SUPPRESSED SHOTGUN Caliber 12 gauge. Massiv and hollow shot sound. Mechanic trigger and long, airy tail.","SUPPRESSED SHOTGUN Caliber 12 gauge. Massiv and kicking shot sound. Long, airy tail.",SUPPRESSED SHOTGUN Caliber 12 gauge. Smacking shot sound with bright early reflections and high whistling.
pit,12,7,5,mid,both,"Constant bubbling, like large pit of water slowly boiling.",Falling into gravel pit with sharp impact and light bounce.,Falling into gravel pit with soft impact and light bounce.
flair,12,11,1,new,both,Success UI tick that indicates successful alignment or connection with flair.,UI tick that conveys movement that suggests a lively and attention grabbing appearance with energetic flair.,Short spell casting accent with bright transient and magical flair.
kids,12,12,0,old,desc,"PERCUSSION RATTLE BIG Shaking rattle with plastic balls. Children, kids, toy. Differing in speed and length.","PERCUSSION RATTLE MEDIUM Shaking rattle with plastic balls. Children, kids, toy. Differing in speed and length.","PERCUSSION RATTLE SMALL Shaking plastic rattle. Children, kids, toy. Differing in speed and length."
lr,12,12,0,old,desc,SUPPRESSED ASSAULT RIFLE Caliber .22 LR. Low and snappy shot sound. Punchy attack with mechanic trigger.,"SUPPRESSED ASSAULT RIFLE Caliber .22 LR. Kicking, bright shot sound. Soft punch in the low mid frequencys and slight hissing.","SUPPRESSED ASSAULT RIFLE Caliber .22 LR. Softly punching, bright shot sound. Ricocheting, very short tail."
roller,12,5,7,new,both,Distinct metallic rattles and clinks as a roller skate moves along a smooth surface.,"Snap of metal roller skates. Crank followed by click. Sharp, metallic.",Snap of plastic roller skates. Crank followed by click. Hollow.
mix,12,5,7,mid,both,Mix of clicks and whistles with some breathing.,"Pieces of corn mix crushed quickly, like object sliding abrasively across surface.","Pieces of corn mix crushed slowly, like plastic rustling and being slid across surface."
shine,12,4,8,new,both,Glimmering sound with a brief shine.,Soft tonal sparkle with airy dust texture and subtle shine.,"Bright, uplifting sparkle burst with magical shine and cheerful tone."
teeth,12,6,6,new,both,"BEAK ATTACK Teeth making contact, resonating in mouth. Chomping down. Powerful chomp.","BEAK ATTACK Teeth making contact, resonating in mouth. Chomping down. Powerful chomp and low end punch.",SQUEAK BALLOON HIGH Rubbing flat party balloon against teeth. Slackly squeaking and creaking.
paddling,12,7,5,old,both,"MOTION SMALL WET Quick splash, paddling, moving through water. Little displacement.","MOTION MEDIUM WET Quick splash, paddling, moving through water. Moderate displacement.","MOTION MEDIUM WET Quick splash, paddling, moving through water. Little displacement."
synthesizer,12,12,0,new,desc,"Descending, scratching sharp accent produced by a synthesizer.",Space robot whoosh generated by a synthesizer.,Screaming wavetable synthesizer with subtle low rumble and soft high sizzle.
key,12,3,9,new,both,Car key taken in and out of door. Scrape as key enters or exits slot.,Car key taken out and put in door. Scrape as key enters or exits slot.,Turning a screw with a hex key.
evoke,12,12,0,unknown,desc,"EVOKE POWER UP Deep pulse, trembling radiation, imploding crunch. Medium decay.","EVOKE POWER UP Deep crunchy muffled hits, swirling metallic ambience, voices. Sweeping implosion. Medium fast decay.","EVOKE POWER UP Erratic static flutter texture, strong low mid resonance sweep, swirl. Windup. Crunchy blast. Medium decay."
background,12,12,0,new,desc,"Domestic, Farm, Mammal. Nervous breathing and grunting with subtle hoofbeats in the background. Mono, Sanken Co100K high frequency response.","Domestic, Farm, Mammal. Nervous breathing and grunting with subtle hoofbeats in the background.","Space station background noise, huge electromagnetic field."
minor,12,7,5,new,both,Thick leather grasp with dense texture and minor squeak.,Standard leather grab with tight fold and minor squeak.,"SMALL LONG TONAL CLANG Clang, ping with mid resonant pitches forming a minor 3rd (10th) with slight vibrato. Medium decay."
moans,12,10,2,new,both,A solo woman performing suffering moans in a studio environment.,A solo man performing suffering moans in a studio environment.,
