word,category,count,library_count,example
crashes,未分类,20,4,Shattering mirror debris with sharp crashes and glistening fragments.
crinkle,未分类,20,3,Quick paper opening with stiff crinkle and dry sheet flap.
ramping,未分类,20,2,Harsh mid-range impact with ramping attack and stomping crunch.
band,未分类,20,6,"Rubber band flicked quickly. Reverberant, dense, sharp."
displaced,未分类,20,2,"Warp, followed by firing of large pulse and ripples, while displaced rocks scatter."
vitreous,未分类,20,1,"VITREOUS CLANG Random clang, ringing resonances at various frequencies over 5 to 7 second duration."
braam,未分类,20,1,"BRAAM SYNTHETIC BASS Bass tones with aggressive, biting metallic overtones. Tonal jackhammer."
furious,未分类,19,2,"Domestic, Farm, Sheep, Mammal. Furious, tonal screaming and moaning. Mono, Sanken Co100K high frequency response."
exhale,未分类,19,5,"Air, Breath, Inhale, Exhale. Long, airy, hissing bursts with sizzling at the end. Mono, Sanken Co100K high frequency res"
steam,未分类,19,5,"Steam, Clean, Hygiene. Short, slightly tonal, raspy, airy hissing. Mono, Sanken Co100K high frequency response."
effects,未分类,19,6,Belltree sound with frequency shifting effects.
jingling,未分类,19,4,Tinkling and sizzling with bell-like jingling in the tail.
particle,未分类,19,9,Particle quivering with quick and rapid motions.
motions,未分类,19,10,Particle quivering with quick and rapid motions.
atonal,Pitch,19,4,Synthesized jiggle with atonal characteristics and frequency shifting.
electrified,未分类,19,6,"Noisy, electrified surge with a Doppler effect."
incoming,未分类,19,8,Jolt with high freq incoming filter modulation.
fade,未分类,19,6,"Whoosh characterised by a prolonged, intense white noise fade-out."
hh,未分类,19,2,"Antique artillery bombardment, multiple historic cannons firing in sequence. HH positioned 150m away from cannons."
bucket,未分类,19,6,"Heavy impact of a bucket against stone and sand debris, resulting in a dull and muffled effect upon colliding with a sur"
dice,未分类,19,1,"Action of dropping dice into a hand from a cup, capturing the distinct noise of the dice falling and landing in the palm"
shut,未分类,19,5,Smooth rustling and thud as a magazine is gently closed shut.
airflow,未分类,19,6,"Air being blown through the nose characterized by steady airflow produced by exhalation, prolonged in length."
bamboo,Material,19,6,Swishing noise created by the movement of a bamboo stick through the air.
pops,未分类,19,6,Series of mouth pops with progressively increasing pitch.
confirmative,未分类,19,1,Confirmative UI tick that combines a satisfying click with bubbly undertones.
bend,未分类,19,6,"Screeching zap followed by a low bassy impact ending with a fade out tail. Metallic, bend like impact."
pulses,未分类,19,8,Pulses blasted are modulated and break into separate ripples.
slides,未分类,19,7,Gun is cocked quickly. Click produced as mechanism slides.
cartridge,未分类,19,2,Paintball gun triggered flicked and slightly pops as empty cartridge engages.
automatic,未分类,19,2,"Trigger of automatic rifle pulled, resulting in multiple, subsequent mechanical clicks."
damped,未分类,19,5,"Funnel damped by hand. Sharp, resonant clang. Long tail."
electromagnetic,未分类,19,4,"Rapid ridealong, captured using an electromagnetic field microphone placed on the engine."
spectrum,未分类,19,8,"Crooked spectrum, shrunken perception."
firework,未分类,19,3,Massive firework explosion with wide stereo spread and bright tail.
watermelon,未分类,19,2,Watermelon is cut with rough motion. Scratches.
flat,Shape,19,5,Stone scrapes sharply against flat surface and lightly rolls.
trick,未分类,19,1,BAILING TRICK FAIL Skateboard rolling away.
effected,未分类,19,1,"EFFECTED IMPACT Reversed metallic clang leading to massive hit. Low, resonant thud, squeaks and squawks, shrill, siren-l"
trombone,未分类,19,1,INSTRUMENT BRASS HIGH Playing trombone. Sliding down. Descending pitch.
excited,未分类,18,3,"Domestic, Farm, Mammal. Excited braying and shrieking. Very long sequences. Mono, Sanken Co100K high frequency response."
braying,未分类,18,1,"Domestic, Farm, Mammal. Excited braying and shrieking. Very long sequences. Mono, Sanken Co100K high frequency response."
friendly,未分类,18,2,"Domestic, Farm, Mammal. Friendly, curious braying and shrieking. Mono, Sanken Co100K high frequency response."
scavenger,未分类,18,1,"Wild, Scavenger. High, tonal screaming and screeching with rising pitch. Mono, Sanken Co100K high frequency response."
crying,未分类,18,6,"Wild, Marine, Mammal. Intense, tonal screaming and crying. Underwater hydrophone recording."
warp,未分类,18,7,Sharp metallic impact sound combined with a synthesized warp effect.
rush,未分类,18,6,Whoosh with characteristics reminiscent of a noisy rush of air.
howl,未分类,18,6,"SYNTHETIC FLY BY Fast burst of rumble, wind like howl, and fluttering."
floor,未分类,18,7,"SYNTHETIC FLY BY Passing roar, like rumble of a heavy furniture being slid across the floor."
howling,Voice,18,8,"SYNTHETIC FLY BY Low rumble with burst of howling, like in strong wind."
initial,未分类,18,8,"Initial burning and stopping of a bomb or cannon detonator wire, large."
handheld,未分类,18,1,"Antique artillery, historic cannon, cal 27mm. XY handheld recorder positioned 175m away from the cannon."
recorder,未分类,18,1,"Antique artillery, historic cannon, cal 27mm. XY handheld recorder positioned 175m away from the cannon."
splintering,未分类,18,4,Breaking wood with splintering and creaking elements.
makes,未分类,18,5,"Forceful thump as a fabric bag makes contact with a surface, accompanied by the distinct sound of a resonating zipper ji"
stop,未分类,18,10,Motion of a dice roll followed by a brief wobble as they come to a stop.
throwing,未分类,18,4,Action of throwing dice into a cup.
dust,未分类,18,7,Gentle and mystical shimmering of bell dust being scattered or dispersed.
items,未分类,18,2,Rattling movement of metal cutlery items as they drop onto a cardboard surface.
lid,未分类,18,6,Sharp and crisp click as the lid of a plastic box securely seals.
released,未分类,18,5,Soft and subtle organic smack created when the tongue is pressed against the roof of the mouth and released.
tooth,未分类,18,3,"Subtle, organic smack produced when a fingernail lightly grazes against a tooth."
strength,未分类,18,6,Denying UI tick that indicates refusal or rejection with strength and authority.
chorus,未分类,18,5,Modulated and tonal noise whooshes in the high-end range with additional chorus element.
swooshing,未分类,18,5,Piercing and wobbling elements with quick zapping and swooshing elements on top. Steady movement with some low end.
whispering,Voice,18,5,"Ghost, Spirit, Paranormal. Male voice, soft and airy whispering. Mono, Sanken Co100K high frequency response."
rhythm,未分类,18,5,"Rapid, muffled, bubbly fire of futuristic weapon. Rhythm mostly steady. No tail."
bounces,未分类,18,3,"Washer shaken on pole, producing clack, then bounces producing second clack."
boom,未分类,18,6,Hydraulic boom pole releases air. Metallic whoosh.
ride,未分类,18,3,"Rapid ride by, accompanied by electric motor sounds."
shutting,未分类,18,6,"Space transformer shutting down, power discharge, electricity rumble."
disturbance,未分类,18,3,"Electrons disturbance, atom agitation."
hot,未分类,18,4,Bright liquid squeeze with hot pan hiss and midrange pop.
flexible,未分类,18,3,Flexible cable handling with plastic friction and shifting weight.
pull,未分类,18,6,Gradual inhale with rounded air pull and soft throat detail.
reverberated,未分类,18,2,"Reverberated, dense noise with swells and waves of inharmonics."
shaping,未分类,18,4,Reverse electronic noise with quick release and spectral shaping.
mud,Material,18,4,Viscous mud flows endlessly over rocky surface.
spaghetti,未分类,18,3,"Spaghetti poured into bag. Processed, with light patter and sometimes squeak."
file,未分类,18,2,"Violin bow scraped against lever arch file, producing creak falling in pitch."
indoor,未分类,18,2,SKATING INDOOR PARK ATMO Atmo from indoor park.
bashing,未分类,18,2,BIG LONG HIT Bashing and clanging attack. Rattling with low mid resonance. Medium fast decay.
pyro,未分类,18,1,"BURNING PYRO Sustained sizzle, fluttering erratically over 12 to 15 seconds. Extinguishing abruptly."
vibrato,Movement,17,6,"Domestic, Farm, Swine, Mammal. Animated, high, tonal screaming and squealing with vibrato. Mono, Sanken Co100K high freq"
moist,未分类,17,6,"Rapid synthesized movement characterized by a moist, glitchy texture."
clarity,未分类,17,6,A high-pitched jolt characterized by its tonal clarity.
bird,未分类,17,5,Tonal sound with a long bird chirp accent.
gradually,未分类,17,6,Tonal essence that gradually emerges with a delayed onset.
imitating,未分类,17,2,Extended explosion noise imitating a car being crushed.
grunt,未分类,17,4,"Very short, deep, and grunt like barking."
somewhat,未分类,17,6,Somewhat calm and stable burst of snorting.
stomping,未分类,17,7,"PROCESSED HIT LOW Heavy and deep thuds, like stomping, with reverb."
scratches,未分类,17,5,"PROCESSED FRACTION Short scratches, like trying to light a match."
positive,未分类,17,4,Magical shimmer that signifies a positive and rewarding outcome.
clunking,未分类,17,3,"Prolonged shower of coins colliding with a glass surface, producing steady tingling and clunking as the coins fall."
rattles,未分类,17,4,Metallic clunks and rattles as the washer move in the palm of a hand.
magazine,未分类,17,5,Smooth rustling and thud as a magazine is gently closed shut.
designed,未分类,17,5,Designed doppler whoosh effect combined with prolonged scraping.
lips,未分类,17,3,"Lips or tongue making contact with each other, resulting in a quick and percussive snappy pop."
compression,未分类,17,3,"Liquid interaction, characterized by a gentle compression or pressure."
radiant,未分类,17,5,"Radiant flyby burst of magical energy, characterised by a high frequency shimmer and dramatic thud."
forward,未分类,17,10,Confirmative UI tick that is reminiscent of a miniature rocket igniting and propelling forward.
zaps,未分类,17,5,"Bubbly noise texture movement, with additional tonal zaps on top."
vessel,未分类,17,4,Fast and low swish elements with a low piercing zap elements on top. Like an alien vessel rapid pass by movement.
tinny,未分类,17,3,"Short, tinny burst, ending with rapid metallic rattling."
snapped,未分类,17,2,"Metal of large suitcase slid and snapped, producing click, crank, then click."
approaching,未分类,17,5,"Storm approaching, electric precipitation."
ambience,未分类,17,8,"Robotic world ambience, machines paradise."
throw,未分类,17,5,Heavy wool throw with thick air resistance and dusty motion.
slick,未分类,17,3,Speedy energy motion with tight transient and slick arcane trail.
rasp,未分类,17,5,Dual scraping rattle with textured rasp and metallic character.
animal,未分类,17,2,Animal quickly gulps up water.
strongly,Intensity,17,2,Bits and pieces of ice break as object collides strongly with it.
flows,未分类,17,3,Viscous mud flows endlessly over rocky surface.
grind,未分类,17,4,"Grind of rock against surface, as if fictional animals roars, airy and whooshy."
chiming,未分类,17,2,Processed glassy drone twinkling and chiming elements with additional movement.
thwack,未分类,17,2,BIG LONG MECHANISM Swift thwack of door slammed shut. Crunchy and compressed with low punch and low mid resonance. Mediu
playful,Mood,16,8,"Wild, Cat, Feline, Predator, Mammal. Playful, tonal moaning. Mono, Sanken Co100K high frequency response."
buildup,未分类,16,4,"Extraterrestrial, Creature, Monster. Deep, aggressive growling with short buildup and impact."
quivering,Movement,16,4,"Crisp, quivering impact noise with a rising white noise effect."
dual,未分类,16,3,Rapid motion with dual filters and delay modulation.
magic,未分类,16,7,Light flutter characterised by a magic sweep up.
jiggle,未分类,16,1,Ascending jiggle with a delayed acceleration.
created,未分类,16,5,"Continuous synthesized movement created by bowing a guitar, featuring a flyby effect and frequency shift."
prominent,未分类,16,7,"Prominent, resonant sharp accent characterised by a tonal quality, extended in duration."
oscillating,Movement,16,4,"Brief, oscillating sharp accent characterized by a delayed effect."
robot,未分类,16,5,Synthesized jiggle resembling a talking robot.
ray,未分类,16,5,Beam characterised by a delayed ray shot.
four,未分类,16,2,"Antique artillery, historic cannon, cal 27mm. Four channel Ambisonics positioned 200m away from the cannon."
burgundian,未分类,16,2,"Antique artillery, historic cannon Burgundian, cal 62mm. ORTF3D Hi positioned 100m away from the cannon."
loshult,未分类,16,2,"Antique artillery, historic cannon Loshult arrow gun, cal 35mm. ORTF3D Hi positioned 100m away from the cannon."
bars,未分类,16,4,Several clanging impacts by moving metallic bars around.
splashes,未分类,16,9,Continuous displacement with subtle sprays and splashes.
jingle,未分类,16,3,"Forceful thump as a fabric bag makes contact with a surface, accompanied by the distinct sound of a resonating zipper ji"
shuffle,未分类,16,3,Swift brushing motion used to shuffle cards.
consistent,未分类,16,6,Steady and consistent shuffle of cards.
picking,未分类,16,5,Action of picking up dice from a table surface.
case,未分类,16,4,Impact of a metal object striking a button box case.
crystal,Material,16,8,Sharp crack and shattering as a crystal stone fractures upon impact.
atmospheric,Space,16,7,Atmospheric effect of a long bubble rope being formed and manipulated.
slipping,未分类,16,4,Whooshing UI tick that indicates the motion of slipping or sliding.
roughly,未分类,16,3,Single note is roughly played over and over again.
choppy,未分类,16,8,"Continuous elements moving and stuttering. Heavily distorted choppy and piercing texture, constant movement."
whispers,未分类,16,5,Low and muddy elements movement with fast high sizzling elements on top and miscellaneous whispers. Constant movement wi
shiny,未分类,16,4,Magical and sizzling with reverberating decay. Shimmering and shiny.
hole,未分类,16,4,"A solo woman screaming ""fire in the hole"" in a studio environment."
gurgle,未分类,16,6,Power up. Bubbles gurgle converging at high squeak.
approximately,未分类,16,4,"Trigger of airsoft gun is pulled with an empty cartridge, held for a short length of time approximately 3-4 rounds dispe"
halt,未分类,16,3,"Metal door hit with hand softly, producing thud and door shakes a bit back and forth before coming to a halt."
brick,未分类,16,4,"Metal bar hit by brick, producing soft, resonant thud."
cranking,未分类,16,4,Wheels of plastic roller skates moved. Wheel against plastic exterior creates cranking noise.
glitch,未分类,16,4,Modulated glitch produced by movements of futuristic machine.
lower,未分类,16,5,"Bubbly burst followed by synthetic lower pitch with short, resonant decay."
charge,未分类,16,5,RECHARGE BIG Almost indiscernible charge with clanks of robotic arms moving.
cosmic,未分类,16,4,"Spaceship engine, cosmic propellant."
atmosphere,未分类,16,4,"Threatening atmosphere, dark star, foggy planet."
flaming,未分类,16,4,Flaming motion with energetic flutter and synthetic fire detail.
articulation,未分类,16,4,Light mallet tap with smooth articulation and controlled resonance.
handling,未分类,16,3,Crisp plastic texture with irregular rustle and light motion handling.
windy,未分类,16,6,Distorted windy noise with a long tail and fragmented random pops.
convolution,未分类,16,2,"Harsh, friction type sound through a convolution reverb."
crunched,未分类,16,3,Brittle snap of leaves and branches being crunched.
caw,未分类,16,1, Caw
panorama,未分类,16,4,Constantly flowing masses of water with moving panorama and heavy low rumbling from time to time.
image,未分类,16,3,"ELECTRICITY SYNTHETIC Low punch, blast. Wide image closing into center."
flute,未分类,15,3,"Flute, Instrument. Airy, steady, continuous and slightly tonal, resonant breathing with varying speed and intensity. Mon"
expressive,未分类,15,1,"Extraterrestrial, Creature, Monster. Long, expressive roaring with moaning and exhaling at the end."
tails,未分类,15,7,Gemstone-like sizzling with gleaming shimmering tails.
robotic,Mood,15,8,Robotic motion with granular texture.
upward,未分类,15,9,Rapid motion with an upward sine wave bubble.
distinctive,未分类,15,3,Distinctive tonal essence reminiscent of a sharp and glimmering emote.
rocket,未分类,15,8,Whoosh with characteristics reminiscent of a noisy air rocket.
bending,未分类,15,7,"Extended, descending detonation characterized by a breaking bending effect."
added,未分类,15,4,Long and stable clicks. Added whistles in the last variation.
repeating,未分类,15,4,Long and continuous sequence of guttural chugging. Very short and repeating.
warble,未分类,15,5,"Short, fast, and raspy warble."
pot,未分类,15,7,PROCESSED FLY BY Brutal rumbling and crackling with closing filter effect like scraping a flower pot on concrete.
slid,未分类,15,4,"SYNTHETIC FLY BY Passing roar, like rumble of a heavy furniture being slid across the floor."
bombard,未分类,15,2,"Antique artillery, historic cannon bombard, cal 40mm. ORTF3D Hi positioned 150m away from the cannon."
carronade,未分类,15,2,"Antique artillery, historic cannon carronade, cal 54mm. ORTF3D Hi positioned 150m away from the cannon."
culverin,未分类,15,2,"Antique artillery, historic cannon culverin, cal 37mm. ORTF3D Hi positioned 150m away from the cannon."
demi,未分类,15,2,"Antique artillery, historic cannon demi cannon, cal 51mm. ORTF3D Hi positioned 150m away from the cannon."
falconet,未分类,15,2,"Antique artillery, historic cannon falconet, cal 33mm. ORTF3D Hi positioned 150m away from the cannon."
gate,未分类,15,6,Heavy hitting of wooden gate. Lots of rumbling and rattling.
creates,未分类,15,4,Collision of loose dirt and sand upon striking the surface creates a scratchy debris effect.
balanced,未分类,15,5,"Balanced and dynamic explosion, complimented by high frequency whimsical elements."
another,未分类,15,7,Rustling and shifting as the parcel makes contact with another surface or object.
pushed,未分类,15,4,Gritty texture and irregular movements as stones are dragged or pushed along the ground.
blown,未分类,15,2,Prolonged whooshing sound as air is blown through fingers.
successive,未分类,15,5,Sequence of rapid and successive mouth pops.
pour,未分类,15,3,Tiny pour of liquid characterized by its gentle and delicate nature.
gloves,未分类,15,3,"Whooshing impact of leather gloves being flapped back and forth, higher pitched."
searing,未分类,15,3,"Heavily distorted, noisy whoosh with high sizzling and searing elements on top."
suitcase,未分类,15,3,"Long and slow movement of metal on a suitcase. Typical, zipper like element."
swishes,未分类,15,5,"Short, snappy and liquidy zapping swishes."
snarl,未分类,15,4,"Goblin, Dwarf, Leprechaun, Fantasy. Female voice, raspy, wet snarl. Mono, Sanken Co100K high frequency response."
slicing,未分类,15,9,"Short electronic, artificially produced buzz. Slicing the air. Becomes bubbly."
empty,Shape,15,5,Paintball gun triggered flicked and slightly pops as empty cartridge engages.
until,未分类,15,5,"Lid of filing cabinet closed, making scraping noises until small metallic thud."
ramp,未分类,15,2,Toy car loading ramp put together and taken apart quickly. Short click.
track,未分类,15,2,"Metal railway track hit, producing piercing clank."
train,未分类,15,5,"Train handbrake impact makes short, sharp, echoey thud."
observer,未分类,15,4,Space capsule whizzes by observer quickly. Quiet whoosh becomes louder depending on speed of object.
fine,Texture,15,5,"Extended, airy gas stream with a fine, continuous hiss."
direct,未分类,15,7,Direct gas burst with sharp hiss and hard-edged transient release.
mild,Intensity,15,5,Mild torch sweep with subdued flame and gentle movement.
smash,未分类,15,5,Dense mirror smash with brittle tone and tonal debris decay.
finish,未分类,15,5,Natural spell rush with airy sweep and quick mystical finish.
gong,未分类,15,5,Powerful gong strike with deep resonance and rich tonal bloom.
tambourine,未分类,15,3,Intense tambourine rhythm with strong jingle articulation and steady drive.
foam,Material,15,4,Light discharge of futuristic weapon collides with foam.
follow,未分类,15,6,Low underwater rumble follow by light discharge of high tech weapon. Thump with electrical tail.
soap,未分类,15,1,Pasta handled by rubber gloves covered by dish soap with light crunch.
jelly,未分类,15,1,"Compressed air expelled continuously, producing gurgling jelly."
ocean,未分类,15,3,Surface of ocean floor struck by limbs of underwater animal.
drips,未分类,15,4,Chicken dunks head in water and drinks small amount while water drips down on head. Morphed snarl.
polystyrene,未分类,15,3,"Polystyrene broken, as if hole is being dug by shovel."
paw,未分类,15,1,"PAW SWISH SMALL WHOOSH Stick quickly whirring, past then retracting back. High whipping sound."
fart,未分类,15,1,"HUMAN FART LONG Pressing mouth against arm, then blowing with high pressure."
squawking,未分类,14,1,"Wild, Tropical. Curious, tonal, squawking, screaming and chattering. Mono, Sanken Co100K high frequency response."
abrupt,Attack,14,8,Abrupt burst of white noise followed by a bouncing effect.
tinkling,未分类,14,4,Tinkling and sizzling with bell-like jingling in the tail.
shifted,未分类,14,3,Metal cup ping sound with a shifted effect.
rises,未分类,14,5,"Sharp, high-pitched sharp accent that rises in frequency."
whirling,未分类,14,10,Sharp accent combining a jolting effect with a whirling motion.
onset,未分类,14,7,Tonal essence that gradually emerges with a delayed onset.
distorting,未分类,14,6,"PROCESSED RUPTURE Hard, distorting attack with ripping, noisy element fading out with closing filter."
clanking,未分类,14,4,"PROCESSED SCREECH LONG Continuous screech, similar to clanking sound, with a bang."
screeches,未分类,14,7,SYNTHETIC FLY BY Distorted and fluttering screeches with variations of intensity.
they,未分类,14,3,Motion of a dice roll followed by a brief wobble as they come to a stop.
attached,未分类,14,4,"Rattling of an old, and weathered rusty metal handle attached to chains."
strikes,未分类,14,7,Metallic impact and metallic jiggles as an object strikes the surface of the box.
tactile,未分类,14,6,Tactile interaction of a coin being dropped into a hand.
subsequent,未分类,14,3,Metallic impact and subsequent rattling as the washer joins the coin pile
dampened,未分类,14,4,Hand hitting a cup with a dampened impactful thud.
rocky,未分类,14,5,"Rumbling, rocky and heavily processed explosion. Lots of low end rumbling with distorted elements on top."
plasma,未分类,14,3,Short plasma tail. Plop.
blades,未分类,14,5,Processed helicopter blades spinning. Short duration.
cabinet,未分类,14,2,"Internal lock of filing cabinet opened, producing short click."
seat,未分类,14,2,"Metal cabin seat in tank moved, producing clunk."
ridealong,未分类,14,1,"Rapid ridealong, captured using an electromagnetic field microphone placed on the engine."
lava,未分类,14,4,"Random behaviour fluid, space lava."
resistance,未分类,14,3,Aggressive leather swipe with tight air resistance and swift pass.
drawn,未分类,14,3,Drawn out crumble movement with granular flame textures and shifting weight.
combustion,未分类,14,4,Thick fire rush with wide movement and distorted combustion trail.
squeeze,未分类,14,5,Bright liquid squeeze with hot pan hiss and midrange pop.
arcane,未分类,14,2,Short dense cloth movement with rich modulation and arcane texture.
timbre,未分类,14,4,Single plastic bell strike with crisp attack and artificial timbre.
arc,未分类,14,4,Slow rising gust with subtle tonal arc and extended evolution.
collapsing,未分类,14,5,Sudden low pressure burst collapsing with unstable suction and snap.
mids,未分类,14,5,Sweep from high to low with medium decay hit with resonant punch in the high mids.
grating,未分类,14,4,"Harsh, grating noise texture with slow release and spray."
weak,Intensity,14,4,Howl of beast already drowning and has already become weak from oxygen deprivation.
intervals,未分类,14,3,"Rubber balloon inflated in short intervals, producing squeaks and scrapes, as if rocks are briefly moved irregularly alo"
pulling,未分类,14,4,Processed pulling of bow and firing of arrow in short sequence. Rock like thud on impact followed by stretch.
strained,未分类,14,5,Slow drag with tight tension and strained leather groan.
hectic,未分类,14,1,"LARGE HECTIC Starting with dull impact, followed by heavily distorted and long spraying."
pyrotechnic,未分类,14,2,MEDIUM NORMAL Pyrotechnic burst with some reverberation and hissing in tail.
shredding,未分类,14,3,"SCRATCH LARGE LOW Shredding, tearing, cutting. Short duration."
blasting,未分类,14,4,STONE PIT EXPLOSION DISTANT Blasting operation in quarry. Several blasts in a row. Huge amount of debris. Massive echo.
last,未分类,13,7,"Domestic, Farm, Mammal. Desperate moaning and braying. Shrieking in the last variation. Mono, Sanken Co100K high frequen"
jolting,未分类,13,2,Dynamic jolting burst with frequency-shifting movements.
kick,未分类,13,8,Punch noise emulating the sweeping force of a roundhouse kick.
whistles,未分类,13,4,Long and stable clicks. Added whistles in the last variation.
flickering,未分类,13,5,"PROCESSED HIT HIGH Shaky and synthetic hit, with some flickering."
throbbing,Movement,13,4,SYNTHETIC RUPTURE Hard attack with intense throbbing and rumble.
voltage,未分类,13,7,"SYNTHETIC HIT HIGH High voltage laser like shot, with feedback."
sparkles,未分类,13,6,"Water displacement with precise water sparkles, a wide stereo field and a medium long tail."
resulting,未分类,13,2,"Heavy impact of a bucket against stone and sand debris, resulting in a dull and muffled effect upon colliding with a sur"
card,未分类,13,2,Motion of a card being dragged and turned on a table surface.
covered,未分类,13,3,Action of a singular shake of a cup containing dice while the hand is covered over the cup.
weighted,未分类,13,5,Heavy or weighted impact on an iron case.
placed,未分类,13,5,Firm thud as a box is firmly placed on a travel bag.
crumpling,未分类,13,6,Sharp rip and crumpling of a paper as it is torn apart.
irregular,未分类,13,7,Gritty texture and irregular movements as stones are dragged or pushed along the ground.
nose,未分类,13,3,"Air being blown through the nose characterized by steady airflow produced by exhalation, prolonged in length."
bar,未分类,13,6,Short and fast rolling movement of metal bar on a suitcase. Low swish like element.
toolbox,未分类,13,2,Quick and short sliding of an open plastic toolbox on parquet with a subtle noisy and slightly tonal elements.
haunted,未分类,13,2,"Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming lo"
modulations,未分类,13,7,"Processed flames coming out of futuristic device. Heavy drone. Heavy, synthetic gurgles with modulations. Electronic gur"
expulsion,未分类,13,3,Processed nitro rifle shot. Warped expulsion. Short duration. Quiet whoosh towards end.
storm,未分类,13,4,"Storm approaching, electric precipitation."
closure,未分类,13,4,"Space shotgun, electromagnetic portal closure."
accelerating,未分类,13,6,Accelerating spacecraft.
lift,未分类,13,5,Smoke swirl with tonal lift and rotating hiss textures.
sharply,未分类,13,3,Chilling sweep gliding sharply with frozen clarity and glide.
singing,Voice,13,4,"High pitch, slow attack singing bell with medium decay."
flam,未分类,13,5,Complex flam of natural sounds colliding. Fast attack with a medium decay.
fx,未分类,13,2,"Low mid, fx hit with fast decay and intense phasing."
collisions,未分类,13,3,Muddled Gravity impact sound of natural materials and collisions.
oozing,未分类,13,3,"Slime oozing down hill, as if group of pebbles were sliding down continuously."
cliff,未分类,13,2,"Warp weapon fired, like rocks coming off a cliff muffled."
expelled,未分类,13,2,"Grapefruit squeezed aggressively with juices expelled, producing squeaks."
twitching,未分类,13,2,Electronic impact with some digital twitching and glitching elements. Heavily processed impacts.
strap,未分类,13,2,Closing a tie down strap. Fast single sound.
years,未分类,13,1,Two years old baby girl starts crying. Increasing intensity at beginning.
chuckling,未分类,13,1,One year old baby boy laughing and chuckling. Short.
snacks,未分类,13,1,"BITE SNACKS SMALL CRUNCHY Biting chip. Crunchy, crushing and resonant."
ticking,未分类,13,3,"FLIGHT MOVEMENT Sustained low-mid frequency buzzing. Pitch wavering slightly with chorus effect. Stereo flapping, tickin"
acid,未分类,13,2,"Heated Potassium Chlorate and powdered sugar reacting with sulfuric acid. Fast burning, thick flame."
nasal,Voice,12,4,"Wild, Marine, Mammal. Short, nasal grunting. Mono, Sanken Co100K high frequency response."
background,未分类,12,7,"Domestic, Farm, Mammal. Nervous breathing and grunting with subtle hoofbeats in the background. Mono, Sanken Co100K high"
nickering,未分类,12,1,"Domestic, Farm, Mammal. Nervous breathing and grunting with subtle nickering. Mono, Sanken Co100K high frequency respons"
croaking,Voice,12,1,"Wild. Slightly raspy, tonal croaking, screaming and screeching. Mono, Sanken Co100K high frequency response."
tear,未分类,12,3,"Scratch, Tear. Raspy, aggressive scratching with movement. Mono, Sanken Co100K high frequency response."
smacking,未分类,12,4,"Extraterrestrial, Creature, Monster. Long, deep growl with smacking and exhaling at the end."
sword,未分类,12,4,Sword sound with an echobode effect.
glockenspiel,未分类,12,5,Processed Glockenspiel with wobbling tail.
flyby,未分类,12,7,"Continuous synthesized movement created by bowing a guitar, featuring a flyby effect and frequency shift."
comb,未分类,12,5,"Continuous synthesized movement resembling jet noise, modified with a comb filter effect."
synthesizer,未分类,12,6,"Descending, scratching sharp accent produced by a synthesizer."
reverberations,未分类,12,7,Jolting evoking liquid-like movements with reverberations.
downward,未分类,12,9,Jolting featuring a downward tonal shift accompanied by noise.
dramatic,Mood,12,6,Potent punch sound resembling a dramatic anime face strike.
crashing,未分类,12,9,"PROCESSED DECAY Rumbling and wobbly eruption, resembling a wave crashing onto the shore."
rip,未分类,12,4,"SYNTHETIC FRACTION Loud and piercing rip like sound, with rattle."
picked,未分类,12,3,Big metallic chain being picked up with tonal ring outs.
decaying,未分类,12,6,Fast hit on surface with slowly decaying displacement.
arm,未分类,12,4,"Quickly moving arm, displacing big amount with lots of dripping and spraying."
submerging,未分类,12,3,Large displacement with submerging bubbles and spraying in the end.
noises,未分类,12,4,"Short, whimsical spell accompanied by subtle crackling noises."
lively,未分类,12,5,Vibrant and lively whimsical spell infused with high frequency textures.
within,未分类,12,3,Rhythmic shuffling of cards within hands.
interaction,未分类,12,2,Interaction between liquid dropping or plopping onto a rubber surface.
descent,未分类,12,5,Rapid descent of a sorcery chime.
screws,未分类,12,2,Impact on a metallic stand that is holding screws in a container.
shaker,未分类,12,3,Rhythmic rattling of a shaker instrument.
series,未分类,12,4,"Sequential impacts of multiple coins hitting the table surface, creating a series of metallic clinks and clatters."
saturated,未分类,12,5,Saturated synth whoosh characterized by its rich and intense nature.
success,未分类,12,1,Confirmative UI tick that symbolizes financial success or achievement.
sparking,未分类,12,4,Quick and noisy whoosh. Sizzling and sparking.
chatter,未分类,12,3,"Goblin, Dwarf, Leprechaun, Fantasy, Babble, Jabber, Chatter, Prattle. Male voice, sad and weird jabbering. Mono, Sanken "
entity,未分类,12,1,"Ethereal, Banshee, Ghost, Spirit, Female, Haunted, Horror, Paranormal, Entity, Voice, Vocal. Female banshee screaming lo"
fight,未分类,12,2,"A solo woman screaming ""fight"" in a studio environment."
disperse,未分类,12,3,"Multiple, short laser like impacts. Grains slowly disperse."
going,未分类,12,3,"Processed low, varying pitch rumble going in and out with high pitched noise."
lengths,未分类,12,5,Synthetic rise in pitch for varying time lengths.
gnarl,未分类,12,3,Medium length processed gnarl. Bassy part disappears shortly before sound decays.
occasionally,未分类,12,4,Sharp blast of bass tone. Occasionally wobbles.
